Point/Time,Mode,Tsa,Psa,Tta,Pta,Macha,Wf_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,PR_compressor1,N_compressor1,Nc_compressor1,Eta_is_compressor1,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_turbine1,N_turbine1,Nc_turbine1,Eta_is_turbine1,W5,Wc5,T5,P5,PR_exhduct,W7,Wc7,T7,P7,PR_exhaust1,T8,P8,V8,Mach8,T9,P9,Athroat_exhaust1,Athroat_geom_exhaust1,FG_exhaust1,FG,FN,RD,WF
9,OD,288.15,101325.0,288.15,101325.0,0,0.3125,18.64644348602007,,288.15,101325.0,1,18.64644348602007,18.64644348602007,288.15,101325.0,6.215845593245376,15708.493470970294,15708.493470970294,0.8345851887959208,18.646443476081018,4.0363117969786435,521.6707129678756,629820.5547355878,1,0.3125,18.958943476081018,6.070974137114513,1141.5831842315447,629820.5547355878,2.4761004669258,15708.493470970294,7892.054330614048,0.875594615313002,18.958943439871,13.669000434191505,943.9039161085907,254359.85459731403,1,18.958943439871,13.669000434191505,943.9039161085907,254359.85459731403,2.510336586205912,808.0375195778504,136864.7426697458,557.8014680815985,1.0,808.0375195778504,101324.99999999999,0.05759643142014823,0.05759643142014823,12622.288835403766,12622.288835403766,12622.288835403766,0.0,0.3125
10,OD,288.15,101325.0,288.15,101325.0,0,0.305,18.482957953059785,,288.15,101325.0,1,18.482957953059785,18.482957953059785,288.15,101325.0,6.131232244509779,15622.541735065284,15622.541735065284,0.8346286500071848,18.482956980895313,4.047532003194867,519.4596700158319,621247.1071749534,1,0.305,18.787956980895313,6.071097319413883,1131.0699106348175,621247.1071749534,2.4771830621461577,15622.541735065284,7885.264776077282,0.8752441912255543,18.787956633090943,13.672678821602297,934.8589290635632,250787.72605393297,1,18.787956633090943,13.672678821602297,934.8589290635632,250787.72605393297,2.4750824184942806,799.9401329481462,134896.34623489593,555.2172111593923,1.0,799.9401329481462,101325.0,0.05759643142014823,0.05759643142014823,12364.986626308593,12364.986626308593,12364.986626308593,0.0,0.305
11,OD,288.15,101325.0,288.15,101325.0,0,0.2975,18.322009203871225,,288.15,101325.0,1,18.322009203871225,18.322009203871225,288.15,101325.0,6.047127335998471,15540.312399596707,15540.312399596707,0.8347087287544457,18.32200624727135,4.059347787109618,517.2295400514714,612725.1773200451,1,0.2975,18.61950624727135,6.071181030824674,1120.2809220923555,612725.1773200452,2.478373439943236,15540.312399596707,7881.440238445269,0.8750075426116098,18.619505318956094,13.676501441119155,925.5440923886813,247228.75392583245,1,18.619505318956094,13.676501441119155,925.5440923886813,247228.75392583245,2.4399580945061183,791.605360407128,132934.86075455922,552.5410601449508,1.0,791.605360407128,101325.0,0.05759643142014823,0.05759643142014823,12108.656385460956,12108.656385460956,12108.656385460956,0.0,0.2975
12,OD,288.15,101325.0,288.15,101325.0,0,0.29000000000000004,18.162749281148148,,288.15,101325.0,1,18.162749281148148,18.162749281148148,288.15,101325.0,5.963319573760579,15461.880158967504,15461.880158967504,0.8347898168634429,18.162747101230458,4.07175052424638,514.984362255637,604233.3558112907,1,0.29000000000000004,18.452747101230457,6.071225292876723,1109.23984888959,604233.3558112908,2.479670532452035,15461.880158967504,7880.592722904788,0.874885426916545,18.452746406423085,13.680459769363187,915.9804178397693,243674.85434195635,1,18.452746406423085,13.680459769363187,915.9804178397693,243674.85434195635,2.404883832637122,783.0527107041308,130976.11903227473,549.7775336249963,1.0,783.0527107041308,101325.0,0.05759643142014823,0.05759643142014823,11852.704051803861,11852.704051803861,11852.704051803861,0.0,0.29000000000000004
13,OD,288.15,101325.0,288.15,101325.0,0,0.2825,18.002953445501202,,288.15,101325.0,1,18.002953445501202,18.002953445501202,288.15,101325.0,5.879249770566647,15386.027846981533,15386.027846981533,0.8348049122524244,18.002952270481675,4.084655066985169,512.7264966344993,595714.9830026653,1,0.2825,18.285452270481674,6.071240863041837,1098.0091922460235,595714.9830026653,2.481051921151064,15386.027846981533,7881.934801728781,0.8748473177799141,18.28545189870812,13.684527137142,906.2310426114207,240105.81073462107,1,18.28545189870812,13.684527137142,906.2310426114207,240105.81073462107,2.3696601108770894,774.3393399860291,129009.64647367902,546.9434933207644,1.0,774.3393399860291,101325.00000000001,0.05759643142014823,0.05759643142014823,11595.645780440527,11595.645780440527,11595.645780440527,0.0,0.2825
14,OD,288.15,101325.0,288.15,101325.0,0,0.275,17.842211892428033,,288.15,101325.0,1,17.842211892428033,17.842211892428033,288.15,101325.0,5.794810258551432,15312.679784687323,15312.679784687323,0.8347370186375516,17.842210148363094,4.09806963830856,510.4561400531659,587159.1494477239,1,0.275,18.117210148363093,6.071228129371832,1086.5946242771263,587159.1494477239,2.482517746562548,15312.679784687323,7885.454618005441,0.874892914538028,18.11720957630828,13.68870004405269,896.3015317607081,236517.60405771193,1,18.11720957630828,13.68870004405269,896.3015317607081,236517.60405771193,2.3342472643248153,765.4708969974338,127033.3892632562,544.0392892387761,1.0,765.4708969974338,101324.99999999999,0.05759643142014823,0.05759643142014823,11337.185300008316,11337.185300008316,11337.185300008316,0.0,0.275
15,OD,288.15,101325.0,288.15,101325.0,0,0.2675,17.681712135591063,,288.15,101325.0,1,17.681712135591063,17.681712135591063,288.15,101325.0,5.710280347818829,15242.601780039487,15242.601780039487,0.8346202843429564,17.681708533480453,4.112086336267003,508.1705341063944,578594.1562427428,1,0.2675,17.94920853348045,6.071179323322126,1074.9519685548685,578594.1562427428,2.484087210063986,15242.601780039487,7891.760302833718,0.8750461051947928,17.949207309417115,13.69299561391756,886.1478710787949,232920.2267531659,1,17.949207309417115,13.69299561391756,886.1478710787949,232920.2267531659,2.2987439107146894,756.4088154147648,125052.58195630166,541.0506136410248,1.0,756.4088154147648,101324.99999999999,0.05759643142014823,0.05759643142014823,11078.053676042173,11078.053676042173,11078.053676042173,0.0,0.2675
16,OD,288.15,101325.0,288.15,101325.0,0,0.26,17.523297816542406,,288.15,101325.0,1,17.523297816542406,17.523297816542406,288.15,101325.0,5.626087326575486,15176.668824533184,15176.668824533184,0.8345182625587223,17.523293463713024,4.126833085692239,505.8641478963877,570063.298365261,1,0.26,17.783293463713026,6.071084817097808,1063.0161202817847,570063.298365261,2.4857857876598324,15176.668824533184,7901.614615058346,0.8753368304761335,17.783291847097658,13.697439357715776,875.7065969373931,229329.2129978464,1,17.783291847097658,13.697439357715776,875.7065969373931,229329.2129978464,2.263303360452469,747.0973480438901,123075.34796310015,537.9569690588233,1.0,747.0973480438901,101325.0,0.05759643142014823,0.05759643142014823,10819.3882067742,10819.3882067742,10819.3882067742,0.0,0.26
17,OD,288.15,101325.0,288.15,101325.0,0,0.2525,17.36761859144974,,288.15,101325.0,1,17.36761859144974,17.36761859144974,288.15,101325.0,5.542347894112925,15114.345424859428,15114.345424859428,0.8344772339339046,17.367617187715126,4.142371754680404,503.52826904988365,561578.4003709921,1,0.2525,17.620117187715127,6.070946227274939,1050.7548686501684,561578.4003709923,2.487617876614064,15114.345424859428,7914.945884437533,0.8757623039814926,17.620116506036254,13.702040853241307,864.9516202415472,225749.46323161395,1,17.620116506036254,13.702040853241307,864.9516202415472,225749.46323161395,2.2279739771193086,737.5142759602192,121104.2878901189,534.7484362057969,1.0,737.5142759602192,101325.0,0.05759643142014823,0.05759643142014823,10561.546145869439,10561.546145869439,10561.546145869439,0.0,0.2525
18,OD,288.15,101325.0,288.15,101325.0,0,0.24500000000000002,17.213590748807615,,288.15,101325.0,1,17.213590748807615,17.213590748807615,288.15,101325.0,5.458756428627403,15054.047651894656,15054.047651894656,0.8344899829962604,17.21359054990726,4.158675281880726,501.15623969101375,553108.4951306717,1,0.24500000000000002,17.45859054990726,6.070774940869812,1038.1879155841739,553108.4951306717,2.4895657953194776,15054.047651894656,7930.939074851328,0.876290659279033,17.458590415560487,13.706786963936484,853.9094358983021,222170.66774075484,1,17.458590415560487,13.706786963936484,853.9094358983021,222170.66774075484,2.1926540117518365,727.6843203517021,119134.09230265838,531.430602017435,1.0,727.6843203517021,101324.99999999997,0.05759643142014823,0.05759643142014823,10303.769378382283,10303.769378382283,10303.769378382283,0.0,0.24500000000000002
